text,predicted_label
cepat makasih,Positive
mantap moga lancar trus makasih layan respon cepat,Negative
warna sesuai pesan realpict packinganya rapi barang tdk lecet,Positive
barang sdh tks tokopedia,Positive
harga kualitas lumayan,Negative
pokok oke bangat barang normal,Positive
barang sdh sampe trs pesan sdh penuh knp tdk hapus,Negative
barang terima moga awet,Positive
,Positive
harga kualitas over all,Negative
rating fast respon kirim cepat barang rating,Positive
brangx udh smpe cepet jga dtengx tpi syg hpx dcas,Negative
colok chargernya beda,Negative
puas belanja kecewa thnks,Positive
lumayan sesuai harga,Negative
packing rapi barang sesuai deskripsi charger moga awet,Positive
mantullllllll,Positive
barang sesuai gambar recommended terimakasih,Positive
sesuai harga saing,Positive
barang sesuai deskripsi paking rapi mantap,Positive
brg bgs kurir lambat,Positive
lumayan hubung ringan kantong,Negative
lumayan ckp ortu ckp tlp sms,Negative
produk minggu udh mati gimana,Negative
barang bagus cepat blm ngecharge lepas batere sellernya komunikatif bngt mksh,Positive
makasih sis barang sampee senng rasanyaa langanan,Positive
mksh barang sdh sukses sllu,Positive
mantap barang fungsi terima kasih,Positive
test sesuai harga kecewa,Negative
bagus volume krg kencang,Negative
oke harga,Positive
rusakk dagang diam,Negative
barang sesuai pesan kondisi packing rapih recomend seller,Positive
respon cepat good seller biar bintang bicara,Positive
barang bagus kirim cepat,Positive
packing rapih sesuai pesan produk,Positive
rekomen banget seller fast respont terima kasih,Positive
mancaplah pokoke packing rapi kirim cepat kurir ramah barang sesuai pesan pake recomendedlah ppkoke,Positive
barang sudh kirim cepat terima kasih,Positive
barang smpai fungsi dngn,Positive
barang sesuai pesan packing recomended lahh,Positive
hpnya,Negative
sssiiiiipppp produk bagus sesuai thx,Positive
mantaf barang sesuai gambar,Negative
terima kasih barang,Positive
barang cepat recommended seller,Positive
tksssssssssssssssssss,Positive
good product always succes,Positive
barang sesuai mantep puas kirim guys abang perhati kirim barang lakh top ngausah ragu jamin sesuai deskripsi hatur nuhun,Negative
barang sersuai pesan,Positive
lumayan bagus iram cepat recomendasi banget,Positive
barang bagus sesuai skripsi kirim cepat terimakasih,Positive
mantap barang bagus headset biar cari2 hehehehe trims,Positive
barang bagus kemas rapi cepat,Positive
barang terima,Positive
pengirman cepat barang sesuai pesan recommended seller,Positive
sampenya besok udh smpe moga awet mksh,Positive
barang sesuai pesan packing recomenede seller,Positive
barang sesuai pesan,Positive
produk chargernya rusak pake charger produk kecewa,Negative
bagus percaya jamin,Positive
good terima kasih kerjasamanya,Positive
rapi barang sesuai,Positive
ukur warna sesuai,Negative
retak,Negative
warna sesuai brg dpaket rapi,Positive
terimakasih toko barang sesuai psnn paking rapih gooooddd,Positive
packing rapat bagus barang sdh ditest fungsi,Positive
muas dicass,Negative
barang terima bungkus trims,Positive
cacat gpp moga awet,Negative
barang asli suara dering kecewa krn samsung asli,Negative
pesan cepat packing rapi,Positive
asli cek moga awet,Negative
mantap kirim cepat,Positive
barang sampe tutup batre deket lipat renggang buku pandu sinyal susah banget,Negative
barang sesuai pesan,Positive
moga baik2 puas,Negative
senang produk paket rapi cacat recommended,Positive
produk bagussss tapiiiii setting gnt bhs,Negative
sayang banget casing pecah overall good,Negative
sesuai pesan kirim cepat recomended,Positive
barang sesuai pesan kirim cepat recommended seller,Positive
respon cepat sayang casing pecah,Negative
terimakasih barang cepat,Positive
hoke mantaaaaaaap pokok,Negative
sesuai pesan barang,Positive
sukaaaaa harga murah bgt,Positive
biar bintang bicara,Positive
kirim cepat barang mantap smg awet,Positive
thanks barang,Positive
barang terima thankss,Positive
barang bagus fungsi normal dgn,Positive
barang sesuai,Positive
terimakasih barang terima sesuai pesan,Positive
barang bagus sesuai pesan,Positive
barang terima cepat kondisi,Positive
maaf kasih ulas barang fungsi packing rapi mantap moga awet,Positive
suka suka suka,Positive
muantap barang sesui deskripsi,Positive
barang terima kasih,Positive
barang cepat moga awet yah mkssih,Negative
lumayan kualitas sesuai harga,Negative
baterai boros makasih sukses,Negative
aneh samsung kwalitasnya batre ngedrop suara dering bnget getar,Negative
kirim lambat sabtu pagi transaksi selasa malem barunampai lot,Positive
biarkn bintang bicara bgt,Positive
mantap recomended seller sukses slalu,Positive
barang jelek casing ori speker pecah barang asli samsung casingnya samsung,Negative
layan lambat,Negative
mantul sesuai harap,Positive
barang bagus harap,Positive
wis tekan suwun bos,Negative
packingnya rapih thanks,Positive
kwalitas menengecewakan rusak,Negative
alhamdulillah barang sesuai pesan,Positive
mantap kemas bagus barang terimakasih,Positive
bagus bgt barang che senang bgt,Positive
oke barang bagus mantul,Positive
kecewa suara nada dering aneh layak samsung,Negative
barang terima dlm,Positive
brg sesuai,Positive
cret cret cret cret cret cret,Negative
pesan cepat sesuai pesan,Positive
barang oke kirim cepat warna tdk sesuai pesan,Negative
produk sesuai deskripsi,Positive
sesuai deskripsi bagus,Positive
barang sesuai kondisi mulus thanks,Positive
sesuai deskripsi bossssss,Positive
samsung rekondisi lumayan software kualitas beda ori makasih,Negative
gooooooooooooooooood,Positive
beli 2pcs rusak mohon ganti rusak,Negative
bagus puuuas bangen barrang muluus,Positive
barang sesuai dgn pesan,Positive
barang kemas bagus sesuai dgn pesan sukses,Positive
paten paten paten kaliii,Positive
tampil firtur,Positive
produk fungsi cuman respon kirim lambat,Positive
terima kasih paket,Positive
paket trimakasihh puasss,Positive
barang bagus sesuai harga,Positive
barang sesuai description respon cepat mantapp,Positive
bagus sesui harga neng belanja,Positive
barang bagus pking bagus,Positive
mantap bossssssssss,Positive
cacan cacan taik tffffgfffggggggggggggggg,Negative
standar,Negative
barang bagus kirim warna wrn hitam kirim wrn navy mohon kak terimakasih,Negative
sesuai deskripsi fungsi dgn recommended,Positive
bagus koq suka pese putih dtng hitam,Negative
cpet rusaakkk jual toko tanggung kecewa hati hati dgn toko tanggung,Negative
sdh beli cepat respon barang bagus,Positive
mantap sesuai deskripsi,Positive
barang oke mantap kirim nunggu,Negative
respon kendala barang coba layan mantap,Negative
barang refubrished kendala tapu kalo telpon lmyan,Negative
,Positive
barang sesuai pesan,Positive
barang rekondisi cantum deskripsi,Positive
warna sesuai gbr respon jual bgt kirim mohon,Positive
kecewa bkn tdk kitab,Negative
produk dkrim kontak 300,Negative
bagusssssssssssssssssss,Positive
mantap gannnnnnnn moga awet,Positive
barang lengkap handsfreenya,Negative
cepat peking bagus barang sesuai,Positive
sesuai harga okkk mantab,Positive
produk terima kondisi good job,Positive
terimakasih barang smpai smoga awet,Positive
kirim lamaaa fitur barang sesuai asli,Negative
,Positive
respon cepat kirim cepat sesuai urai produk moga sukses,Positive
barang barang bagus sesuai pesan,Positive
beli jual kirim bude sumatra beliau pakai dicharge cek servis bilang kalo samsung palsu kecewa beli pcs,Negative
barang sesuai pesan bagusssss,Positive
thanks lapak belah merah ijo barang bagusss,Positive
barang slow respon,Negative
barang terima,Positive
user ramah kirim lumayan cepat barang normal refurbish smg awet,Negative
barang bgus sesuai pesan packingnya jga bagus mksh,Negative
barang bagus sesuai deskripsi,Positive
murah riah semoha awet,Negative
bagus sesuai harga sampe cepat,Positive
wrna tdk sesuai dgn pesan,Negative
maksih sdh yampek maaf pengirimanya cepat,Positive
puas moga lancar usaha,Positive
sesuai harga samsung mesin cina trims,Negative
barang sesuai deskripsi oke,Positive
barang bagus pngiriman cpat,Positive
terimakasih seler kurir barang terima muas moga sukses,Positive
mantap banget barang sesuai,Positive
semangat alhamdullah brg muas,Positive
barang terima sesuai harga terima kasih,Positive
kirim cepat packing baguss,Positive
paket cepat temen neng bgt titip transaksi brgnya lom paket,Negative
barang sesuai pesan kirim kilat,Positive
paket cepet nyampe barang mantap,Positive
seller cepat respon barang cepat mantap,Positive
sesuai dgn pesan barang,Positive
terbaikkkk,Positive
muluuus sayang bukupanduan garansi,Positive
terima kasih,Positive
mohon perhati kualitas jualanya krn puas langgan hasil jual terimakasih,Positive
respond cepat barang bagus retak sayang,Negative
moga awet,Positive
,Positive
barang thanks,Positive
speaker fungsi kalo tlp tlp kedengeran suara tlp kadang nada sibuk pdhl hape tlp hape nyambung kadang pdhl pulsa over all kecewa,Negative
produk bagus fungsi dgn,Positive
barang murah manfaat recommended sales manual booknya,Positive
barang terima,Positive
sesuai deskripsi recomended,Positive
barang retak pecah,Negative
terima kasih barang nyampe moga awet,Positive
puas layan ramah barang cepet sampe,Positive
cepat packing rapi,Positive
beli good jobs,Negative
brang brang sesui gambar,Positive
harga sahabat sesuai prediksi good jobs,Negative
barang sesuai pesan respon cepat packing rapi,Positive
produk kemas rapi proses cepat,Positive
barang moga awet,Positive
bagus smoga awet barang,Positive
terima kasih barang terima sesuai pesan,Positive
sesuai deskripsi blm coba nnt ubah sdh nyoba,Negative
senang produk paket rapi cacat recommended,Positive
siang besok siang udh sampee service mantap barang oke punyaa nice seller,Positive
barang bener2 bagus ori cacat dipacking fungsi normal jalan,Positive
terimakasih pesan terima proses cepat harga murah paking rapih,Positive
goooddddd salam ambon,Positive
barang terima sesuai deskripsi thanks,Positive
sesuai deskripsi fast respon,Positive
tks barang sesuai skripsi paking tks kuta irdee,Positive
recommended seller,Positive
mantaap cpet sampe sesuai deskripsi packing banget recommeded seller pokok,Positive
barang sdh makasih kalo buyer pakai jne tolong kirim pakai jne jgn kurir krn daerah support jasa kirim jne bintang,Positive
seller sellerhenphon ramah responsif packing karna plastik bublenya tebel kualiatas barang original asli garansi harga murah kurir cepat sampe ane ditungguin paket barang tokopedia terimakasih karna sedia media belanja nyaman hemat,Positive
product oke aplikasi xiaominya,Negative
fast respon barang sesuai request,Positive
recomended sesuai pesan muas,Positive
jne selesai thx,Negative
mantap maaf sempet ngasih ulas recommended for you guys,Positive
produk original resmi garansi replika supercopy sdh verifikasi via com thanks,Positive
direseler usernya kualitas barang seller sempet input resi ane ngetrace rubah inputan reai ane lacak nih barang overall,Positive
cepet layan muas,Positive
thanks barang,Positive
barang sesuai pesan,Positive
hehe harga kantong produk oke layar cocok dikadoin orang2 tua,Positive
thx mudah2an awet,Positive
bin bicara,Positive
produk oke kendala kirim garansi oke overall,Positive
mantap nyampenya cepet bintang bicara seller packing tingkat bagus hindar handling ngawur ekspedisi makasih moga lapak sukses,Positive
respon cepat barang sesuai skripsi sayang kirim lambat,Negative
proses transaksi kirim cepat respons bgs tulis seller paket piknik aceh trus,Positive
produk garansi resmi tpi sayang dpt bonus,Negative
josss barang cuman responnya gimana,Negative
maaf telat kasih ulas pokok best recommended bgt,Positive
okeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Positive
bagus packing bagus respon cepet mantap,Positive
terima kasih jalan lancar hapenya,Positive
biar bintang bicara,Positive
terima kasih barang selamat test drivenya bonus temperglass jos guandos,Positive
paket selamat jne yes tgl tgl overall baguss kendala skrg hape fungsi update mui abis biar bintang bicara,Negative
bener2 recommended banget responnya cepat cek asli top banget pokok sukses lapak,Positive
nympe dngn harap rapi,Positive
resmi note resmi note counter gpp,Negative
terima kasih terima kasih,Positive
barang sesuai deskripsi jual packingnya recommended,Positive
mantep fast respon fast delivery recommended seller,Positive
barang garansi yah,Positive
great seller barang sesuai deskripsi garansi mantap,Positive
respon cepat barang sesuai deakripsi terimakasih,Positive
thanks beother paking rapih fast respon next order,Positive
sesuai espektasi,Positive
beli pcs toko muas,Positive
nice seller,Positive
recommended seller pokok,Positive
barang sampe dgn cepet sesuai,Positive
sesuai pesan kirim cepat seller jyga ramah,Positive
bagus seller fast respon sukses,Positive
respon cepat pcking rapi terima ksih,Positive
barang sesuai pesan terima kasih,Positive
kirim cepat packaging barang sesuai deskripsi thank you,Positive
barang oke ane dapet perdana telkomsel gpp deh agan top thanks,Negative
produk terima sesuai deskripsi produk bahan produk kuat rentan debu kotor produk fungsi indoor outdoor jual cepat proses transaksi senang belanja toko,Positive
pokok barang keren deh over all,Positive
terima kasih secepet kilat sampe,Positive
cpet bozz,Positive
mantap mdh2an awet respon seller oke,Positive
mantap cepattttt sekaliiiii moga awet,Positive
very good respons recommend banget,Positive
thanks barang bagus kirim cepat,Positive
mantap jiwa barang sesuai deskripsi plus kartu simpati poko maknyos,Positive
mantap barang sesuai deskripsi,Positive
produk sesuai deskripsi spek far harga antisipasi dgn spek sdh djabarkan kamera dgn zenfone2 fitur sdkt lbh tarik drpd garansi smacam kartu hal2yg dgaransi smg pake garansi btw packingan rapi delivery bayar brg dterima,Positive
barang terima cepat thanks kartu garansi boxnya,Positive
terima makasih moga awet,Positive
barang terima ngecek garansi gmna kartu garansi nih,Negative
kualitas produk bagus,Positive
barang bagus mudah awet jne ngawur pake yes jumat transaksi selasa,Negative
fastrespon brg terima sesuai deskripsi tks,Positive
kterima trimsssssss yaaaaa,Positive
barang sesuai deskripsi tks,Positive
respon cepat packing rapih rekomen seller neh,Positive
tgl sampe besok dpet blackmatte perdana tlkmsl jual fastrespon thxx tinggal ubl root twrp mahh heheh,Positive
thanks barang selamat packing rapi cepet sampenya heheh sesuai harap,Positive
mantaaap percaya makasih,Positive
sesuai tawar gambar,Negative
barang sesuai deskripsi produk,Positive
response cepat layan muas,Positive
makasih darat mulus tokopedia terimakasih kalo tolong bantu,Positive
layan muas barang cepat kirim thanks yah,Positive
makasih kaaaaak barang terima maaf bawel hehe poko bagus kecewa kaya langgan,Positive
thanks bagus order gaji ade,Positive
produk oke thanks packing rapih segel oke bonus,Positive
kirim lambat respon mohon perbaikin kwalitas layan,Negative
packing rapi barang sesuai deskripsi fast respon recommended seller,Positive
thanks barang darat,Positive
respon cepat produk sesuai kirim telat,Positive
respon cepat kirim cepat packing barang sesuai,Positive
trima brg sdh terima,Positive
barang selamat bungkus rapi barang sesuai terang thanks mantapp,Positive
ori puass bintang bicara,Positive
mantap masak pulak,Positive
oke penfiriman cepat mantap,Positive
paket dietrima packing trims,Positive
recomended seller cepat kirim,Positive
barang kirim kirim warna uang check barang kirim redmi note redmi note cpu hio x20 deca core 1ghz kirim qualcom snapdragon 625 octa core max ghz kadung deh refund repoooooot,Negative
barang bagus sesuai order layan cpt recommended seller,Positive
mantaaaappppppppppppppppp,Positive
cepet banget duga recom seller,Positive
barang boss sesuai pesan makasih,Positive
barang mantaaaaapppp,Positive
barang kualitas layan mantab thanks,Positive
barang sampe karna tuker warna kualitas barang mudah2 awet,Positive
fast respon cpt nyampainya kendala sdikit overall good,Negative
makasih barang terima kirim cepat sesuai pic,Positive
barang kirim cepat,Positive
terima kasih sesuai dgn spek,Positive
mksh pngrmn cpt sehri brng mantp xiaomi versi global jual erafone top,Positive
barang bagus sesuai deskripsi makas beli mantabs,Positive
makas sesuai dgn spesifikasi packing rapi recommended,Positive
okeeeeeeeeeeeeeeeee,Positive
oke sesuai harap,Positive
trimaksih redmi note edisi hatsune sdah dtrima mudah awet,Positive
mantap bagus maaf ngulas,Positive
makasih order,Positive
proses cepat barang bagus jual ramah,Positive
barang sesuai garansi distributor thanks,Positive
terima kasih,Positive
barang sesuai pesan seller cepat tanggap hri lebaran kirim dus penyok cek handphonenya baik2 moga awet maju sellernya,Positive
recomended seller puaaaaaaaass,Positive
terimakasih barang packing mantab pesan sesuai deskripsi,Positive
order kemarin kardus mulus cacat kado terimakasih,Positive
maaf konfirmasi mantab thanks,Positive
barang oke sesuai iklan,Positive
barang,Positive
thxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Positive
thanks barang sesuai pesan mantap,Positive
mantap nyampe barang normal,Negative
barang sesuai deskripsi mantap sukses lapak,Positive
barang malam via jne kelwngkapan okay barang bagus murah murah fungsi okay,Positive
barang sampe full booting berat diupdate second device worth terima kasih,Negative
barang sesuai pesan thx,Positive
alhmdlh barang sampe barang kondisi pckg,Negative
barang sesuai pesan pakai bagus,Positive
sempet khawatir ngidupin logo fungsi dgn normal,Negative
mantab sesuai deskripsi,Positive
kirim cepat sore transfer kirim barang sesuai skripsi global version mulus segel miss pesan order kirim via jual kirim via jne bikin bingung cek resi gagal jne pantesan andai agan seller konfirmasi beli biar paham moga lapak agan maju over all puas lapak agan rekomended seller,Negative
muantab sesuai pesan,Positive
barang cpt proses packing bagus,Positive
baterai mantap tahan panas main mobile legend anget update official sampe miui fitur sesuai butuh double wake matiin layar tekan tombol power pokok bintang dech barang sesuai spek murah banget garansi cellnya jgn takut,Positive
barang sesuai pesan respon jual kirim cepat,Positive
terimakasih barang darat pontianak,Positive
biar bintang bicara mantab terima kasih,Positive
produk tinggal response seller tingkat buyer jarang,Negative
mantap kirim fast top banget deh,Positive
mantap coyyyyyyyyhhhhhyyyyyyyyyyyyyy,Negative
kirim cepat kondisi bagus kardus kusam snapdragon packing pakai buble wrap,Positive
pokoke joss perhati reaponse cepat terima kasih,Positive
kirim cepat fast respon,Positive
barang sdh selamat,Positive
barang terima terima kasih,Positive
beli sesuai deskripsi barang selamat seller fast respon,Positive
note pro fokus nih gpp barang normal,Negative
thanks barang mulus sampe selamat coba bagus,Positive
barang kirim sesuai snapdragon global rom layan cepat,Positive
progam fungsi paksa cari alternatif app btw thx,Negative
produk cocok cepat,Positive
kirim cepat sesuai spesifikasi mantap,Positive
kirim telat hrs direset update systemnya,Negative
barang selamat spek warna sesuai,Positive
darat dgn selamat packing rapih moga awet,Positive
mantap layan cepat packing rapi,Positive
produk kurir meleted,Positive
bro seller handphone unit xiaomi kondisi sesuai spec cacat,Positive
kmrn barang sampe cepet moga2 terima kasih yaaaa,Positive
kirim cepat barang sesuai,Positive
barang bagus sesuai thanks,Positive
pesan kondisi mulus sesuai deskripsi tahan,Positive
barang terima lambat akibat usaha kirim jual bungkus rapih barang sesuai spek thanks respons jual,Positive
produk sesuai deskripsi packing rapi bungkus buble wrap respon toko cepat terima kasih,Positive
kirim cepat cek barang,Negative
spesifikasi sesuai rom global charger colok indonesia sambung,Positive
good recommended seller coba seller,Positive
deskripsi sesuai kondisi spesifikasi hape hape selamat dgn thanks bos,Positive
barang sdh terima sesuai pesan joss,Positive
barang selamat sesuai deskripsi seler fast respon,Positive
klik order rabu siang rabu malam bayar kamis sore top banget layan makasih produk bener snapdragon mediatek packing bubble wrap mancapp,Positive
barang mantap jaya bagus kirim kecewa yes oke sukses bos,Positive
barang bagus resfon cacat dus,Positive
alhamdulillah baran earphone surat toko bagus,Positive
terimakasih cepet,Positive
bener rekondisi alhamdulillah barang sesuai deskripsi fungsi abang gercep respon kirim cepat,Positive
sampe moga suka sayang toko offline biar irit ongkir itc roxy lt4 kedai kopi torabika bos,Positive
barang sesuai pesan,Positive
fast respon kirim,Positive
cek mudah mudah bagus yah thank you seller tokped,Negative
good product thanks,Positive
terimakasih barang terima bagus bangat,Positive
barang bagus coba,Positive
barang sesuai pesan,Positive
barqng sesuai pesan mantap,Positive
produck blm cek moga produck dgn,Positive
barang normal,Positive
biar bintang bicara,Positive
hitam suara pecah,Negative
produk bagus paket rapi sukaaa,Positive
mantaaapppp pokok tpi kualitas saing ori kerennn smoga awet garansi bro minggu normal pemakaiannn toko tanggung garansi,Positive
kirim cepat sesuai terang,Positive
barang sesuai harga ramah tua,Positive
barang tipe sesuai smb310 b310,Negative
sdh smp order cepet smp sesuai deskripsi makasih,Positive
respon kirim cepat barang selamat,Positive
bungkus rapi thanks,Positive
sempet panik segel blm mudah2an awet sellernya amanah pokok,Positive
barang bagus cepat respon puas,Positive
kirim wktu puas,Positive
barang sesuai gambar,Positive
kaya rumah gpp smoga awet,Negative
mantap bos rapih packingan,Positive
penguriman oke kualitas sesuai harga keypad presisi slot cas lepas,Negative
barang sdh warna sesuai moga mesin bagus awet,Negative
barang oke kirim cepat mudah mudah awet tks,Positive
puas sllu kirim cepattt,Positive
senang belanja respon cepat produk paket rapih cacat recommended muas,Positive
respon cepat barang sesuai pesan packing rapih kirim cepat terimakasih,Positive
barang jelek batre bagus fungsi beli,Negative
samsung dual sim bantu muas tks lapak,Positive
packing rapih hri udh smpe ssuai ktrngn,Positive
mantul barang mulus seller ramah maap bawel nanya2,Positive
mantap barang bagus sim umur hidup pajak kendara motor gratis pilih pks,Positive
barang mantap makasiih,Positive
produk sesuai warna sesuai pesan recomended,Positive
mantap trimakasih,Positive
barang terima,Positive
,Positive
respon cepat barang sesuai harga lahya,Negative
fast response transaction very good packaging highly recommended supplier thank you,Positive
pakai tenan tks jual toped kirim kelas dgn cepat,Positive
barang terima,Positive
respon seller kualitas oke moga awet buyer kasih sukses,Negative
sesuai deskripsi,Positive
paket sdh terima sentosa okeh bgt makasih sukses seller,Positive
barang bagus cepat,Positive
terima kasih sukses terima fungsi packing rapi iram cepat,Positive
selamat langanan toko cepat banget,Positive
senang cepat kualitas bagus ringan banding,Positive
oke produk cepat,Positive
mantap packing rapih,Positive
barang sesuai packing bagus kirim cepat thx,Positive
respon cepat bgt kirim cepat paking rapih sesuai gambar,Positive
respon cakep kirim cepet mantapp,Positive
sesuai gambar layan cepat responnya bagus banget rekomen toko,Positive
sesuai deskripsi,Positive
tampil layar buram beda original,Negative
barang cepat kondisi thanks,Positive
segel dus,Positive
lumayan kuat asli baterai,Negative
bagus sesuai order,Positive
senang produk,Positive
terima kasih barang,Positive
barang bagus moga awet sukses,Positive
kirim cepat cuman cas batere gerak ywdh ganjal lemari sajah,Negative
respon cepat barang sesuai deskripsi,Positive
casanya beda letuk lgi bikin listrik turun,Negative
packing rapih produk bagus sesuai,Positive
barang sesuai harap payah,Positive
warna putih kasih item kalo kabarin,Negative
mantap kak barang bagus sesuai deskripsi terimakasih,Positive
suara ringtone maksimal dengar,Negative
biar bintang bicara terima kasih bos good job,Positive
mantapp darat selamat,Positive
paking rapi produk original kirim bagus mantaf trimakasih,Positive
terima cas,Negative
barang bagus sesuai gambar,Positive
alhamdulillah produk sampe produl sesuai gambar terimakasih,Positive
barang thx moga awet,Positive
ukur sesuai,Positive
tengkyu barang bagussss,Positive
kirim ukur inch inch,Positive
sesuai gambar best,Positive
terima kasih barang sampe selamat,Positive
goooooooddddddd sesuai harga,Positive
sesuai gambar,Positive
barang tghnya air hujan klu hujan gede,Positive
produk sesuai skripsi,Positive
barang terima kirim jga cepat recommended seler,Positive
mantap,Positive
barang bagus murah mudah2an awet,Positive
barang lepas kirim lambat makasih,Negative
thanks barang bagus smoga awet,Positive
proses cepat barang bagus,Positive
barang bagus respon jual cepat,Positive
produk sesuai deskripsi,Positive
mantull barang,Positive
mantep 6inch akalin biar kuat nempelnya holder hape leher,Positive
barang sampe mudah2an awet,Positive
barang refund seller alamat lengkap komplain,Negative
kirim cepat packing rapih,Positive
kerennn barang dateng sesuai estimasi,Positive
bagus kcewa,Positive
barang bagus sesuai respon cepat thx,Positive
order jam jam trimakasih top responnya,Positive
sesuai pesan moga awet,Positive
barang sesuai deskripsi good job,Positive
thankyou barang sampe sesuai pesan,Positive
pesan terimakasih,Positive
resleting gampang rusak pakai suah,Negative
barang barang bagus sesuai deskripsi keras ngunci holdernya bagus pakai,Negative
sesuai cuman dipake kasih bintang,Negative
barang rekomended seller,Positive
kondisi mantap sesuai,Positive
barang sesuai recommended,Positive
cepet kirim barang lumayan bagus gede,Positive
mantap jalan,Positive
holder nmax maket lumayan rapi,Negative
packing rapi barang sesuai pesan top markotop thx,Positive
toko cepat tanggap kirim cepat sesuai durasi,Negative
produk sesuai deskripsi lepas holder jalan solusi lem plastik mantap,Positive
mantap barang pasang gampang susah puas,Positive
bagus keren mantapp,Positive
produk rusak,Negative
barang sesuai pesan,Positive
packing rapih recomended,Positive
brng bagus terimakasih,Positive
mantap sesuai harap terima kasih,Positive
mantap mantap mantap,Positive
maaf konfirmasi barang sdh terima kmrn pakai moga awet respon kirim cepat thank you,Positive
kirim cepat mantapp,Positive
respon pengirman barang cepat packing rapih muas terima kasih sayang barang terima ukur pesan order informasi produk terang notes beli ukur inch kirim ukur inch,Positive
respon cepat barang sesuai,Positive
mantap gaannn sorry telat ngabari,Positive
produk packing rapih,Positive
keren sesuai harap,Positive
kait gagang klik ngeri jalan lepas,Negative
naoroh hpnya kasih kecewa layan,Negative
alhamdulillah sampe packing bagus rapi barang bagus kasih lem kuat bilang kuat pasang makasih,Positive
barang mulus packing rapih cepet,Positive
barang thx,Positive
bagus packing rapih mantab cepat thanks,Positive
kirim cepat sesuai pesan sukses,Positive
terimakasih bgus barang,Positive
rusak ayah,Negative
terimakasih barang oke kirim cepat,Positive
order josssssssssss,Positive
kualitas barang,Positive
barang ajipp recomended sesuai descripsi,Positive
barang packing rapi cacat,Positive
produk paket rapi cacat recommended terima kasih,Positive
barang sesuai iklan beanfaat,Negative
product bagus fast respon recommended seller,Positive
respon barang bagus,Positive
barang bagus oke sesuai pesan,Positive
produk bagus cuman kait,Negative
respon cepat pngiriman,Positive
terimakadih barang,Positive
barang darat selamat paking rapih respon cepat goodlah rekomended banget,Positive
barang terima sesuai pesan respon cepat moga sukses,Positive
makasih sdh sesuai deskripsi top,Positive
barang nice,Positive
kualitas barang bagus kokoh tks,Positive
mantep sesuai order makas,Positive
good fine kecewa,Negative
barang sesuai pesan fast respon recommended,Positive
barang cepat pesan pagi siang barang oke bgt sesuai deskripsi thanks,Positive
barang sesuai dgn gambar produk bagus respon cpt recommended,Positive
kirim cepet kualitas barang ragu mantap,Positive
barang lem kuat mudah copot holdernya,Negative
fast respone mantap,Positive
musti pakai lem nyantol holdernya sarung,Negative
responsif keren kirim cepat,Positive
bagus packing rapih respon cepet dapet bonus recomended deh belanja,Positive
barang sesuai respon cepat kirim cepat,Positive
barang bagus kirim cepat,Positive
terima ukur ngepas bgt,Negative
terima kasih barang sampe,Positive
sesuai harap terima kasih,Positive
kualitas produk bagus respon cepat,Positive
jossss mantap jiwa gaaaan,Positive
oke dpt bonus,Positive
barang bagus rusa,Positive
barang sampe respon cepat suka terima kasih,Positive
respon cepat kirim cepat packaging oke,Positive
barang sdh terima,Positive
kait cari dalem box murni seller kacau harga lumayan beli anggep sedekah sellernya berkah,Negative
produk sesuai presentasi handphone kirim cepat,Positive
barang sesuai pesan,Positive
barang joss kirim cepat,Positive
sesuai ekspektasi,Positive
barang cepet sampe sesuai tks,Positive
barang bagus kirim,Positive
rekomendasi belanja toko smpt insiden seller tanggung penuh fast respons salut seller kualitas barang sbnrnya kokoh pling resleting lancar mgkin ssuai hrganya terima kasihhhh,Positive
senang produk paket rapi bersih,Positive
produk sesuai gambar kirim cepat,Positive
darat selamat sentosa produk good quality,Positive
barang bgs cepat,Positive
barang bagus recommended banget nih barang,Positive
mantap muas moga manfaat,Positive
kualitas bagus barang,Positive
bahan bagus kokoh keren kain kempes kirim cepat recommended seller,Positive
produk sesuai kirim cepat mudah copot,Positive
barang sesuai pesan makasih,Positive
harga sesuaiiiiiii bagusssssss,Positive
mantap barang sesuai,Positive
layan,Positive
barang kirim sesuai deskripsi packing rapih kondisi barang bagus pasang mudah recommended seller terima kasih,Positive
barang bagus terima kasih,Positive
barang bagus sesuai estimasi casingnya longgar posisi holder,Negative
produk sesuai deskripsi packing rapi kirim cepat recc seller,Positive
sesuai deskripsi sukses slalu deh,Positive
barang bagus siiiip,Positive
produk bagus sesuai gambar,Positive
kirim cepat barang bagus,Positive
barang bagus besi awet,Positive
barang sesuai spesifikasi,Positive
barang trima,Positive
mksh barang respon cepet sip sip,Positive
barang okeeeeeeeeeeeeeeee,Positive
barang sesuai packing rapi nilai plus layan prima super cepat blm jam transfer status barang kirim over all recomended seller,Positive
barang sdh terima dgn kualitas barang bagus thanks,Positive
barang sesuai gambar sreg cover bening layar lengkung muka rapet nempel screen handphone,Negative
lumayan barang oke sempet bingung krna jatuh mulu oprek,Negative
thank sampe,Negative
powerglue nyantol doang ngehold,Negative
lobang masukin spion bingung pasang,Negative
barang respon seller kirim cepat,Positive
respon cepat tanggap sukses,Positive
good service super fast good product,Positive
sesuai pesan mantap,Positive
